,team,position,Height,Weight,Birthdate,Full_name,age,First_name,Last_name,Name
0,OKC,SG,"6'6""",190,8/01/1993, Alex  Abrines,24.45448323066393,Alex,Abrines,A. Abrines
1,BKN,F,"6'7""",240,10/06/1990, Quincy  Acy,27.274469541409992,Quincy,Acy,Q. Acy
2,OKC,C,"7'0""",255,7/20/1993, Steven  Adams,24.487337440109513,Steven,Adams,S. Adams
3,MIA,F/C,"6'10""",260,7/18/1997, Bam  Adebayo,20.49281314168378,Bam,Adebayo,B. Adebayo
4,ORL,G/F,"6'5""",210,10/15/1985, Arron  Afflalo,32.24914442162902,Arron,Afflalo,A. Afflalo
5,NO,F/C,"7'2""",248,5/06/1988, Alexis  Ajinca,29.691991786447637,Alexis,Ajinca,A. Ajinca
6,MIN,C,"6'11""",253,10/31/1988, Cole  Aldrich,29.204654346338124,Cole,Aldrich,C. Aldrich
7,SA,F/C,"6'11""",260,7/19/1985, LaMarcus  Aldridge,32.49007529089665,LaMarcus,Aldridge,L. Aldridge
8,FA,PF,"6'8""",245,11/16/1995, Cliff  Alexander,22.16290212183436,Cliff,Alexander,C. Alexander
9,FA,PG,"6'3""",185,1/18/1995, Bryce  Alford,22.989733059548254,Bryce,Alford,B. Alford
10,BKN,F/C,"6'11""",234,4/21/1998, Jarrett  Allen,19.734428473648187,Jarrett,Allen,J. Allen
11,BOS,SG,"6'3""",205,1/15/1993, Kadeem  Allen,24.996577686516083,Kadeem,Allen,K. Allen
12,FA,F/C,"6'9""",260,2/04/1989, Lavoy  Allen,28.941820670773442,Lavoy,Allen,L. Allen
13,NO,G/F,"6'4""",213,1/11/1982, Tony  Allen,36.0082135523614,Tony,Allen,T. Allen
14,POR,F,"6'9""",220,9/21/1990, Al-Farouq  Aminu,27.315537303216974,Al-Farouq,Aminu,A. Aminu
15,FA,G/F,"6'6""",220,10/16/1982, Alan  Anderson,35.24709103353867,Alan,Anderson,A. Anderson
16,PHI,SF,"6'6""",230,11/19/1993, Justin  Anderson,24.1533196440794,Justin,Anderson,J. Anderson
17,SA,G/F,"6'9""",230,9/20/1993, Kyle  Anderson,24.317590691307323,Kyle,Anderson,K. Anderson
18,HOU,F/C,"6'10""",240,5/06/1988, Ryan  Anderson,29.691991786447637,Ryan,Anderson,R. Anderson
19,IND,C,"6'10""",250,10/22/1998, Ike  Anigbogu,19.23066392881588,Ike,Anigbogu,I. Anigbogu
20,MIL,F,"6'11""",222,12/06/1994, Giannis  Antetokounmpo,23.107460643394933,Giannis,Antetokounmpo,G. Antetokounmpo
21,OKC,F,"6'8""",240,5/29/1984, Carmelo  Anthony,33.6290212183436,Carmelo,Anthony,C. Anthony
