id,team,player,pos,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
400974437,bos,jayson-tatum,PF,37,5-12,1-2,3-3,4,6,10,3,0,0,1,4,+6,14
400974437,bos,gordon-hayward,SF,5,1-2,0-1,0-0,0,1,1,0,0,0,0,1,+3,2
400974437,bos,al-horford,C,32,2-7,0-2,5-7,0,7,7,5,0,1,0,2,+8,9
400974437,bos,kyrie-irving,PG,39,8-17,4-9,2-2,2,2,4,10,3,0,2,4,-1,22
400974437,bos,jaylen-brown,SG,40,11-23,2-9,1-2,1,5,6,0,2,0,3,5,-5,25
400974437,bos,semi-ojeleye,PF,9,0-2,0-1,0-0,0,0,0,0,0,0,0,1,-10,0
400974437,bos,aron-baynes,C,19,2-2,0-0,2-4,2,3,5,1,0,1,2,5,-14,6
400974437,bos,marcus-smart,PG,35,5-16,0-4,2-3,0,9,9,3,2,2,2,2,-8,12
400974437,bos,terry-rozier,PG,20,2-6,1-3,4-4,0,3,3,2,4,0,0,0,+4,9
400974437,bos,shane-larkin,G,5,0-1,0-1,0-0,0,1,1,0,0,0,0,0,+2,0
400974437,cle,kevin-love,PF,28,4-9,1-4,6-7,3,8,11,0,0,0,2,2,+1,15
400974437,cle,lebron-james,SF,41,12-19,1-5,4-4,1,15,16,9,0,2,4,3,+2,29
400974437,cle,jae-crowder,SF,35,3-10,1-5,4-4,1,4,5,2,2,0,1,2,+7,11
400974437,cle,derrick-rose,PG,31,5-14,1-3,3-4,1,3,4,2,0,0,2,2,-7,14
400974437,cle,dwyane-wade,G,29,3-10,0-1,2-2,1,1,2,3,0,2,4,1,+0,8
400974437,cle,jeff-green,PF,14,3-8,0-1,0-0,0,0,0,0,0,0,1,3,-2,6
400974437,cle,tristan-thompson,C,20,2-3,0-0,1-3,1,5,6,2,0,0,2,3,+2,5
400974437,cle,iman-shumpert,SG,13,2-3,0-0,0-0,1,1,2,0,1,0,1,3,+6,4
400974437,cle,kyle-korver,G,7,0-0,0-0,0-0,0,0,0,0,0,0,0,2,-1,0
400974437,cle,jr-smith,G,22,4-7,1-3,1-1,0,4,4,1,0,0,0,4,+7,10
400974703,mil,giannis-antetokounmpo,PF,37,13-22,0-1,11-13,1,12,13,3,3,0,5,4,+7,37
400974703,mil,khris-middleton,SF,43,6-17,1-5,2-2,2,7,9,6,2,0,5,4,+10,15
400974703,mil,thon-maker,C,14,1-4,0-1,0-0,2,1,3,0,1,0,1,1,-7,2
400974703,mil,malcolm-brogdon,PG,41,6-10,3-5,4-4,0,1,1,4,0,0,2,2,+10,19
400974703,mil,tony-snell,SG,29,2-4,1-3,0-0,0,4,4,1,0,0,0,4,-4,5
400974703,mil,mirza-teletovic,PF,11,0-2,0-2,0-0,0,2,2,1,0,0,0,0,+0,0
400974703,mil,john-henson,F,17,2-2,0-0,1-2,0,6,6,2,0,4,1,2,+7,5
400974703,mil,greg-monroe,C,17,4-5,0-0,2-4,1,5,6,1,0,0,0,3,+9,10
400974703,mil,matthew-dellavedova,PG,26,4-10,2-4,5-5,0,1,1,1,0,0,1,2,+8,15
400974703,mil,rashad-vaughn,G,3,0-0,0-0,0-0,0,0,0,0,0,0,0,0,+0,0
400974703,bos,jayson-tatum,PF,37,3-7,0-1,2-5,2,7,9,2,1,0,2,3,-15,8
400974703,bos,al-horford,C,33,6-11,0-2,1-1,1,5,6,4,3,2,2,3,+1,13
400974703,bos,kyrie-irving,PG,39,7-25,2-7,1-2,1,3,4,3,3,0,3,1,-2,17
400974703,bos,marcus-smart,PG,32,4-13,3-7,1-6,3,4,7,4,3,0,3,4,-4,12
400974703,bos,jaylen-brown,SG,28,6-11,2-3,4-5,1,4,5,3,0,0,0,6,+0,18
400974703,bos,semi-ojeleye,PF,12,1-2,1-2,0-0,0,1,1,0,0,0,1,0,+0,3
400974703,bos,abdel-nader,SF,11,2-4,0-1,0-0,0,0,0,1,0,0,0,1,-4,4
400974703,bos,daniel-theis,C,5,2-3,0-0,2-2,2,0,2,0,0,0,1,1,+2,6
400974703,bos,aron-baynes,C,16,2-3,0-0,0-0,1,1,2,0,0,0,0,4,-7,4
400974703,bos,terry-rozier,PG,27,6-12,3-5,0-0,0,7,7,6,2,0,0,4,-11,15
400974772,bos,jayson-tatum,PF,33,3-8,0-2,9-9,2,6,8,0,0,3,3,3,-4,15
400974772,bos,al-horford,C,36,5-16,3-7,4-4,3,6,9,3,0,1,4,2,+5,17
400974772,bos,aron-baynes,C,14,5-8,0-0,0-1,5,3,8,2,0,0,1,5,-3,10
400974772,bos,kyrie-irving,PG,36,7-17,1-4,6-7,2,4,6,4,2,0,5,4,+2,21
400974772,bos,jaylen-brown,SG,37,4-13,1-4,0-3,0,8,8,0,2,0,0,2,+15,9
400974772,bos,guerschon-yabusele,F,3,1-2,1-1,0-0,0,1,1,0,0,0,2,2,+4,3
400974772,bos,abdel-nader,SF,7,0-2,0-1,0-0,0,2,2,0,0,0,0,1,-2,0
400974772,bos,daniel-theis,C,11,0-1,0-1,0-0,1,2,3,1,0,1,1,2,+0,0
400974772,bos,terry-rozier,PG,30,6-11,2-6,0-3,1,6,7,2,0,0,2,2,+6,14
400974772,bos,shane-larkin,G,19,4-5,2-2,0-0,0,2,2,4,0,0,1,0,+16,10
400974772,bos,jabari-bird,G,14,0-1,0-1,3-5,0,1,1,0,0,0,0,1,+11,3
400974772,phi,robert-covington,PF,27,5-10,2-6,0-0,2,0,2,2,0,1,2,5,-11,12
400974772,phi,joel-embiid,C,28,4-16,0-6,3-3,2,12,14,3,1,2,3,1,-4,11
400974772,phi,ben-simmons,PG,37,4-11,0-0,3-6,3,8,11,5,1,0,4,2,-7,11
400974772,phi,jj-redick,SG,36,7-16,4-7,1-1,0,0,0,4,0,0,0,1,-14,19
400974772,phi,jerryd-bayless,G,30,7-12,4-6,0-0,0,1,1,1,1,0,0,4,-9,18
400974772,phi,dario-saric,PF,24,4-10,0-4,1-2,4,6,10,2,0,1,6,5,+2,9
400974772,phi,amir-johnson,F,11,0-2,0-0,0-0,1,1,2,1,0,0,0,1,-1,0
400974772,phi,justin-anderson,F,3,0-0,0-0,0-0,0,0,0,0,0,0,0,0,-4,0
400974772,phi,tj-mcconnell,PG,12,1-2,0-1,2-2,1,3,4,0,2,0,1,5,-3,4
400974772,phi,markelle-fultz,PG,17,2-9,0-0,2-2,1,2,3,1,1,0,0,4,-7,6
400974772,phi,timothe-luwawu-cabarrot,SG,14,1-4,0-2,0-0,0,0,0,1,1,0,0,2,+8,2
400974802,ny,kristaps-porzingis,F,32,3-14,0-2,6-9,1,4,5,0,0,0,2,1,-14,12
400974802,ny,enes-kanter,C,30,7-11,0-0,2-3,9,10,19,0,0,1,3,2,-10,16
400974802,ny,tim-hardaway-jr,SG,28,2-11,0-5,2-4,0,3,3,1,0,0,1,0,-11,6
400974802,ny,ramon-sessions,G,26,4-8,0-0,0-0,0,1,1,7,3,0,3,2,-11,8
400974802,ny,courtney-lee,G,35,6-10,1-3,0-0,0,2,2,3,1,0,1,2,-10,13
400974802,ny,michael-beasley,F,14,2-6,0-1,2-2,0,3,3,2,0,0,2,1,-8,6
400974802,ny,lance-thomas,F,10,1-4,0-1,0-0,0,0,0,0,0,0,0,0,-5,2
400974802,ny,doug-mcdermott,SF,17,3-5,0-0,0-0,1,3,4,2,1,0,1,2,-7,6
400974802,ny,kyle-oquinn,C,6,1-2,0-0,0-2,0,2,2,1,0,1,0,1,-10,2
400974802,ny,willy-hernangomez,C,11,5-6,0-0,2-3,0,1,1,0,2,0,0,3,-1,12
400974802,ny,damyean-dotson,SG,5,0-0,0-0,0-0,0,1,1,0,0,0,0,0,+2,0
400974802,ny,jarrett-jack,G,18,2-5,0-0,0-0,0,2,2,2,0,0,0,2,-12,4
400974802,ny,ron-baker,G,10,0-3,0-0,2-2,0,0,0,2,1,0,1,1,-8,2
400974802,bos,jayson-tatum,PF,31,9-15,4-6,0-0,1,3,4,2,4,2,3,4,+10,22
400974802,bos,al-horford,C,29,5-8,2-4,1-2,2,11,13,5,0,1,2,1,+11,13
400974802,bos,aron-baynes,C,22,1-3,0-0,1-2,1,3,4,1,1,1,0,2,+10,3
400974802,bos,kyrie-irving,PG,30,5-13,1-5,9-9,0,3,3,7,1,0,3,2,+13,20
400974802,bos,jaylen-brown,SG,32,9-16,3-6,2-3,0,4,4,0,1,1,0,4,+11,23
400974802,bos,semi-ojeleye,PF,16,0-1,0-1,0-0,0,2,2,0,0,0,0,3,+7,0
400974802,bos,guerschon-yabusele,F,2,1-1,0-0,2-2,0,0,0,0,0,0,0,0,-3,4
400974802,bos,abdel-nader,SF,4,0-0,0-0,0-0,0,0,0,0,0,0,0,0,-2,0
400974802,bos,daniel-theis,C,21,4-6,1-1,2-3,1,4,5,1,0,2,2,4,+14,11
400974802,bos,terry-rozier,PG,31,2-7,2-4,2-2,0,6,6,6,2,0,1,0,+24,8
400974802,bos,shane-larkin,G,20,1-5,1-2,3-4,0,0,0,4,2,0,1,4,+11,6
400974802,bos,jabari-bird,G,3,0-0,0-0,0-0,0,0,0,0,0,0,0,0,-1,0
400974818,bos,jayson-tatum,PF,28,3-6,1-3,5-5,0,2,2,3,1,0,2,1,+8,12
400974818,bos,al-horford,C,34,11-14,4-5,1-1,1,8,9,4,0,1,4,2,+2,27
400974818,bos,daniel-theis,C,19,0-1,0-0,0-0,0,5,5,1,0,1,2,4,+1,0
400974818,bos,kyrie-irving,PG,35,10-18,2-4,2-2,0,3,3,7,2,1,2,3,+4,24
400974818,bos,jaylen-brown,SG,34,2-10,2-6,3-6,3,6,9,0,1,1,1,1,+5,9
400974818,bos,semi-ojeleye,PF,14,0-2,0-2,0-0,1,0,1,1,0,0,0,0,-2,0
400974818,bos,aron-baynes,C,24,3-6,0-0,6-6,0,7,7,1,0,0,2,2,+12,12
400974818,bos,marcus-smart,PG,27,2-10,2-6,2-2,0,1,1,4,1,0,2,1,+7,8
400974818,bos,terry-rozier,PG,21,2-9,0-3,0-0,1,6,7,0,2,0,0,0,+1,4
400974818,bos,shane-larkin,G,5,0-2,0-1,0-0,0,1,1,0,0,0,0,0,-3,0
400974818,mil,giannis-antetokounmpo,PF,42,10-21,2-3,6-7,0,10,10,7,3,1,3,3,-10,28
400974818,mil,khris-middleton,SF,35,7-16,1-3,0-0,1,1,2,2,2,0,3,4,-3,15
400974818,mil,thon-maker,C,14,1-4,1-3,0-0,1,2,3,2,1,0,0,0,-11,3
400974818,mil,malcolm-brogdon,PG,36,6-12,2-4,1-3,0,6,6,5,0,1,2,3,+3,15
400974818,mil,tony-snell,SG,25,4-7,3-5,0-0,0,1,1,1,0,0,0,4,-2,11
400974818,mil,mirza-teletovic,PF,17,1-5,1-5,0-0,0,3,3,1,0,0,2,0,+0,3
400974818,mil,john-henson,F,17,0-0,0-0,1-2,0,3,3,0,0,0,1,2,+7,1
400974818,mil,greg-monroe,C,17,4-8,0-0,0-0,0,6,6,1,0,0,3,2,-1,8
400974818,mil,matthew-dellavedova,PG,21,2-4,1-2,0-0,0,2,2,2,0,0,2,1,-11,5
400974818,mil,deandre-liggins,G,16,0-0,0-0,0-2,0,1,1,1,0,1,0,1,-7,0
400974829,bos,jayson-tatum,PF,31,6-9,2-2,6-7,2,3,5,0,0,0,0,1,+2,20
400974829,bos,al-horford,C,34,3-9,0-2,6-7,1,8,9,3,1,0,2,1,+5,12
400974829,bos,aron-baynes,C,24,2-3,0-0,2-2,2,3,5,1,1,4,1,2,+7,6
400974829,bos,kyrie-irving,PG,34,10-23,2-8,2-2,0,4,4,3,3,1,2,0,+4,24
400974829,bos,jaylen-brown,SG,32,1-7,0-2,4-6,1,4,5,1,0,0,4,2,+16,6
400974829,bos,semi-ojeleye,PF,7,0-0,0-0,0-0,0,0,0,0,1,0,0,1,-7,0
400974829,bos,daniel-theis,C,15,4-6,0-0,0-0,3,1,4,0,1,0,1,4,-3,8
400974829,bos,marcus-smart,PG,27,6-12,2-6,2-2,2,2,4,4,2,0,2,1,-2,16
400974829,bos,terry-rozier,PG,25,2-9,0-3,0-0,0,4,4,0,1,0,0,0,-1,4
400974829,bos,shane-larkin,G,11,0-3,0-0,0-0,0,1,1,3,1,0,0,2,+9,0
400974829,mia,james-johnson,PF,33,7-14,1-5,1-1,0,5,5,2,1,0,3,3,-8,16
400974829,mia,bam-adebayo,C,24,2-4,0-0,2-2,1,2,3,0,1,1,1,3,-11,6
400974829,mia,goran-dragic,PG,36,9-15,1-4,3-3,0,3,3,4,0,1,2,3,-8,22
400974829,mia,josh-richardson,SG,36,6-11,2-5,2-2,0,0,0,3,0,1,6,4,+3,16
