id,date,home_team,visit_team,home_team_score,visit_team_score,away_losses,away_wins,home_losses,home_wins
400974952,2017-11-14,BKN,BOS,102,109,2,13,9,5
400975285,2017-12-31,BOS,BKN,108,105,23,13,10,30
400975325,2018-01-06,BKN,BOS,85,87,10,33,24,15
400975965,2018-04-11,BOS,BKN,110,97,54,28,27,55
400974802,2017-10-24,BOS,NY,110,89,3,0,2,2
400974824,2017-10-27,NY,BKN,107,86,3,3,3,1
400975165,2017-12-14,BKN,NY,104,111,13,15,16,11
400975219,2017-12-21,NY,BOS,102,93,9,26,14,17
400975388,2018-01-15,BKN,NY,104,119,24,20,28,16
400975491,2018-01-30,NY,BKN,111,95,33,18,28,23
400975504,2018-01-31,BOS,NY,103,73,29,23,15,37
400975632,2018-02-24,NY,BOS,112,121,19,42,37,24
400974772,2017-10-20,PHI,BOS,92,102,2,1,2,0
400975065,2017-11-30,BOS,PHI,108,97,9,12,4,19
400974445,2017-12-25,NY,PHI,98,105,18,15,16,17
400975360,2018-01-11,PHI,BOS,103,114,10,34,20,19
400975409,2018-01-18,BOS,PHI,80,89,20,21,12,34
400975502,2018-01-31,BKN,PHI,116,108,24,24,33,19
400975588,2018-02-12,PHI,NY,108,92,35,23,25,29
400975745,2018-03-11,BKN,PHI,97,120,29,36,46,21
400975768,2018-03-15,NY,PHI,110,118,30,37,45,24
400975776,2018-03-16,PHI,BKN,120,116,48,21,30,38
400975864,2018-03-28,PHI,NY,118,101,49,27,30,44
400975903,2018-04-03,PHI,BKN,121,95,53,25,30,47
400974778,2017-10-21,TOR,PHI,128,94,3,0,0,2
400974939,2017-11-12,BOS,TOR,95,94,5,7,2,12
400974972,2017-11-17,TOR,NY,107,84,7,8,5,10
400975009,2017-11-22,NY,TOR,108,100,6,11,7,10
400975175,2017-12-15,TOR,BKN,120,87,17,11,8,19
400975218,2017-12-21,PHI,TOR,109,114,8,22,17,14
400975231,2017-12-23,TOR,PHI,102,86,18,14,8,23
400975338,2018-01-08,BKN,TOR,113,114,10,28,25,15
400975385,2018-01-15,PHI,TOR,117,111,13,29,20,20
400975544,2018-02-06,TOR,BOS,111,91,16,39,16,37
400975558,2018-02-08,TOR,NY,113,88,33,23,16,38
400975738,2018-03-11,NY,TOR,106,132,17,49,43,24
400975754,2018-03-13,BKN,TOR,102,116,17,50,47,21
400975828,2018-03-23,TOR,BKN,116,112,50,23,19,54
400975886,2018-03-31,BOS,TOR,110,99,21,55,23,53
400975917,2018-04-04,TOR,BOS,96,78,25,53,22,56
400974814,2017-10-25,GS,TOR,117,112,2,2,2,3
400974935,2017-11-11,GS,PHI,135,114,6,6,3,10
400974966,2017-11-16,BOS,GS,92,88,4,11,2,14
400974982,2017-11-18,PHI,GS,116,124,4,12,7,8
400974987,2017-11-19,BKN,GS,111,118,4,13,10,6
400975377,2018-01-13,TOR,GS,125,127,9,35,12,29
